t,S1_ax,S1_ay,S1_az,S1_gx,S1_gy,S1_gz,S2_ax,S2_ay,S2_az,S2_gx,S2_gy,S2_gz,S3_ax,S3_ay,S3_az,S3_gx,S3_gy,S3_gz
0.120000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.125000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.130000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.135000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.140000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.145000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.150000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.155000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.160000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.165000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.170000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.175000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.180000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.185000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.190000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.195000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.200000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.205000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.210000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.215000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.220000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.225000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.230000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.235000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.240000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.245000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.250000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.255000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.260000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.265000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.270000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.275000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.280000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.285000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.290000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.295000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.300000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.305000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.310000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.315000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.320000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.325000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.330000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.335000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.340000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.345000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.350000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.355000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.360000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.365000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.370000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.375000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.380000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.385000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.390000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.395000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.400000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.405000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.410000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.415000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.420000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.425000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.430000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.435000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.440000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.445000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.450000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.455000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.460000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.465000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.470000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.475000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.480000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.485000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.490000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.495000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.500000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.505000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.510000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.515000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.520000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.525000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.530000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.535000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.540000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.545000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.550000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.555000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.560000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.565000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.570000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.575000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.580000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.585000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.590000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.595000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.600000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.605000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.610000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.615000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.620000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.625000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.630000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.635000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.640000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.645000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.650000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.655000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.660000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.665000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.670000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.675000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.680000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.685000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.690000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.695000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.700000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.705000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.710000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.715000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.720000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.725000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.730000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.735000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.740000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.745000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.750000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.755000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.760000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.765000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.770000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.775000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.780000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.785000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.790000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.795000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.800000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.805000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.810000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.815000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.820000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.825000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.830000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.835000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.840000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.845000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.850000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.855000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.860000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.865000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.870000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.875000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.880000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.885000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
0.890000,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0
